name,x,y,z,scale
dots151,13646.94922,159.906738,-115.814842,945.5625
dots152,13646.95508,192.698547,-103.516014,1287.015912
dots153,13647.00098,225.411423,-89.194923,1287.015912
dots154,13647.01172,264.067291,-68.176865,1897.691406
dots155,13647.0166,270.454041,-23.628967,2127.515625
dots156,13647.01758,229.455414,3.020905,1681
dots157,13647.01758,245.841705,27.61219,321.753978
dots158,13647.01758,231.475952,62.450539,2626.5625
dots159,13647.01758,223.267441,115.743965,2127.515625
dots160,13647.01758,223.257782,156.735352,945.5625
dots161,13647.01758,200.697357,162.875366,236.390625
dots162,13647.01758,200.693054,191.571533,2127.515625
dots163,13647.01758,171.977814,218.204071,531.8789063
dots164,13647.0166,171.536301,255.53157,2626.5625
dots165,13647.0166,128.911591,261.234222,945.5625
dots166,13647.01563,102.257401,240.728134,531.8789063
dots167,13647.01563,96.094025,268.973267,1287.015912
dots168,13647.01563,60.803146,268.158447,1109.722923
dots169,13647.01563,57.135498,240.698181,531.8789063
dots170,13647.01465,30.480972,255.041214,945.5625
dots171,13647.01172,5.819504,238.676208,656.640625
dots172,13647.01172,0.716614,265.162537,794.5351563
dots173,13647.00684,-20.784531,245.757324,945.5625
dots174,13647.00586,-24.885803,277.556396,531.8789063
dots175,13646.99121,-60.794983,262.133179,2127.515625
dots176,13646.98828,-99.799133,281.625519,945.5625
dots177,13646.97754,-138.746277,294.903351,1897.691406
dots178,13646.97461,-149.941406,257.000458,236.390625
dots179,13646.96484,-166.338486,234.439407,1287.015912
dots180,13646.96094,-196.088501,228.235367,420.25
dots181,13646.95703,-178.582306,200.635361,945.5625
dots182,13646.94043,-221.724274,203.673004,2370.472656
dots183,13646.93848,-256.570526,181.075745,1109.722923
dots184,13646.94043,-249.36676,154.423965,420.25
dots185,13646.92481,-247.300415,122.675316,1681
dots186,13646.91406,-291.266937,113.433578,2127.515625
dots187,13646.90625,-277.002686,83.749527,420.25
dots188,13646.89258,-307.624268,73.510612,1477.441714
dots189,13646.89258,-277.914917,45.815376,1287.015912
dots190,13646.88672,-312.758484,36.620255,1109.722923
dots191,13646.87402,-283.038635,4.724686,1477.441714
dots192,13646.875,-318.989685,5.83223,656.640625
dots193,13646.87695,-313.862976,-30.988922,2127.515625
dots194,13646.88281,-294.374146,-71.996834,1681
dots195,13646.88379,-284.053894,-112.983559,945.5625
dots196,13646.88477,-256.35022,-120.130798,656.640625
dots197,13646.88477,-227.644012,-116.025635,1109.722923
dots198,13646.88477,-237.93985,-152.972397,1681
dots199,13646.88477,-205.030014,-173.415787,794.5351563
dots200,13646.88477,-178.403427,-183.583374,945.5625
dots201,13646.88477,-146.703323,-185.682037,656.640625
dots202,13646.88574,-135.500031,-223.677017,2895.785156
dots203,13646.88574,-92.289307,-249.217682,2127.515625
dots204,13646.89356,-48.276413,-268.686127,1897.691406
dots205,13646.89258,-10.221176,-253.28949,1109.722923
dots206,13646.89746,3.028809,-281.980286,945.5625
dots207,13646.92773,46.101624,-291.227386,2370.472656
dots208,13646.93359,80.950531,-238.806229,1897.691406
dots209,13646.94238,120.948303,-211.253418,2626.5625
dots210,13646.95117,163.992645,-181.715134,2127.515625
dots211,13646.99902,159.327881,-144.254715,945.5625
dots211_,13646.99609,197.026154,-144.257919,1681
dots212,13647.00195,217.250458,-117.875832,420.25
dots213,13647.00977,250.566437,-119.658875,1897.691406
dots214,13647.01563,297.697815,-104.067581,2626.5625
dots215,13647.02246,310.9646,-54.609726,2370.472656
dots216,13647.02539,309.716919,-15.391113,794.5351563
dots217,13647.02441,293.046509,5.10582,420.25
dots218,13647.02832,270.483185,21.498955,1287.015912
dots219,13647.0293,276.626007,54.293625,794.5351563
dots220,13647.0293,270.469757,82.988907,794.5351563
dots221,13647.02832,249.965378,93.235245,236.390625
dots222,13647.0293,260.210876,107.582283,420.25
dots223,13647.0293,282.755157,107.578186,794.5351563
dots224,13647.02832,268.398621,148.573029,2895.785156
dots225,13647.02832,260.190613,183.416687,420.25
dots226,13647.02832,235.577209,181.354782,531.8789063
dots227,13647.02734,237.601166,203.881317,531.8789063
dots228,13647.02832,221.194153,220.274475,420.25
dots229,13647.02734,200.687317,230.516937,531.8789063
dots230,13647.02734,219.132111,242.812256,321.753978
dots231,13647.02734,212.978378,261.257812,531.8789063
dots232,13647.02734,214.214233,293.677979,1287.015912
dots233,13647.02734,187.557373,287.084137,321.753978
dots234,13647.02734,163.756744,302.231995,1681
dots235,13647.02734,145.304779,279.678589,321.753978
dots236,13647.02734,118.634827,302.200073,1897.691406
dots237,13647.02637,76.384796,303.80426,1681
dots238,13647.02441,27.986023,296.402344,2370.472656
dots239,13647.01172,-15.079926,301.712341,945.5625
dots240,13646.99414,-42.412659,294.917877,656.640625
dots241,13646.98047,-73.226837,310.349792,1681
